date,username,comment,processed_comment
2025-02-06 19:24:08,@Pathfinderxr,"You think we&#39;re flippin aliens or something? &quot;Recommend you watch 1st 1.25 then 1.5x&quot; what the hell are you talking about 😂 who says that?? 🤔 just edit better, do better producing 😂 that&#39;s so funny to say that.....",think flippin alien someth recommend watch st x hell talk say edit better better produc that funni say
2025-02-06 01:41:08,@ofiasdfnosdf,Thanks!,thank
2025-02-05 00:07:52,@steinarlote6308,Yess.! This is good. It gives me the feeling of understanding. And may be I do?,yess good give feel understand may
2025-02-04 21:43:38,@KMrYang,this is SO useful<br>thank you,usefulthank
2025-02-04 05:16:09,@rajmohite8143,"Literally Mind-blowing, the type and depth of the content. And the animation in video is a masterpiece, help to understand things easily.",liter mindblow type depth content anim video masterpiec help understand thing easili
2025-02-03 04:42:46,@uzzybuzzy-t5h,"Gotta say, this video s a friggin masterpeice",got ta say video friggin masterpeic
2025-02-02 20:00:15,@loophunter5406,"It  is 2025 for me, and i just found the BEST youtube channel ever",found best youtub channel ever
2025-02-02 17:51:59,@rakumar4u,"Wow, what a clear explanation of phase shift and amplitude for representing 6-bit data! When someone explains it this clearly, there are no limits to learning.",wow clear explan phase shift amplitud repres bit data someon explain clearli limit learn
2025-02-02 09:27:03,@adller99,"Love it…its just, Elon doesnt understand any of it",love itit elon doesnt understand
2025-02-02 04:32:22,@SimZoneStudios,The engineers working on this need to be famous,engin work need famou
2025-02-02 00:53:44,@davideperrone7662,I want to know how a LLM works,want know llm work
2025-02-01 11:24:42,@mrinmoydgp,Could this wave harmful ?,could wave harm
2025-02-01 08:00:08,@IAMAMERICANUNIVERSENATUREGOD,Yes I am magnetic 🧲 Gold Oil Diamond oWn okay,ye magnet gold oil diamond okay
2025-02-01 01:09:25,@formulabravium1873,Aka Nahtsi internet,aka nahtsi internet
2025-01-31 21:11:39,@Vaffanculoilluminati,My SP ain&#39;t enough for all that INT stats,sp aint enough int stat
2025-01-31 19:22:20,@tomroethke,I clicked because I saw a burger,click saw burger
2025-01-31 11:40:06,@thetank971,I hope thats all they put up there.,hope that put
2025-01-31 08:47:16,@simonjefferytaylor,Boycott star link,boycott star link
2025-01-30 21:36:50,@TTocsxic,"Very awesome video again, to the whole team behind Branch Education! 🛰️Very informative, even to me as a space systems project manager on Space Capability Development with the Space Force. 🚀<br>As for my question; could you perhaps, for the completion of how starlink works, touch upon how the whole network provides internet? E.g. the communication layer of the satellites themselves, zooming in on inter-satellite laser communication and translating internet and modem technology into the concept of starlink, starlink groundstations and &quot;dishy&#39;s&quot;? 📡 <br>Cheers again guys! Awesome topic",awesom video whole team behind branch educ inform even space system project manag space capabl develop space forc question could perhap complet starlink work touch upon whole network provid internet eg commun layer satellit zoom intersatellit laser commun translat internet modem technolog concept starlink starlink groundstat dishi cheer guy awesom topic
2025-01-30 10:50:43,@MohammadAlhashmi-p5o,thank you for your hard work,thank hard work
2025-01-30 10:37:51,@muhazreen,"<a href=""https://www.youtube.com/watch?v=qs2QcycggWU&amp;t=94"">1:34</a> Nah, im raw dogging this with 1.0x speed, <br><br>There no way imm gonna let all these marvelous  knowledge slip through my brian<br><br>And i do it twice, 2nd round for that sweet creator comment. Love it, seems like reading narrator intrusive thoughts ❤",nah im raw dog x speed way imm go let marvel knowledg slip brianand twice nd round sweet creator comment love seem like read narrat intrus thought
2025-01-30 10:31:12,@muhazreen,"English (Canada) caption is marvelous idea ever 😍<br>It light able to hear narrator intrusive thoughts about his narration<br><br>I ended up watching this video TWICE !!N<br>Just to read all of those awe &amp; mind blowing info that cant be fit into narrator script🤩<br><br>Like i said before, seems small and simple, but huge impact for us &amp; make you distinct from other educational youtuber ❤❤❤❤<br><br>Keep up your &quot;Team&quot; good job <br>Script writer, researcher, animator, proof reader (editor) al everyone that create this masterpiece video❤",english canada caption marvel idea ever light abl hear narrat intrus thought narrationi end watch video twice njust read awe mind blow info cant fit narrat scriptlik said seem small simpl huge impact us make distinct educ youtub keep team good job script writer research anim proof reader editor al everyon creat masterpiec video
2025-01-30 10:20:42,@muhazreen,"<a href=""https://www.youtube.com/watch?v=qs2QcycggWU&amp;t=1566"">26:06</a> is one of best thing ever happen in this video.<br><br>I never seen or think about it whenever i watch any educational video<br><br>It simple &amp; small additions but it make you stand out more than other educational content creator<br>And it have huge impact on us to comprehend, conclude &amp; relate this information with our existing knowledge <br><br>BIG BIG BIG Kudos to everyone behind this video❤❤❤",one best thing ever happen videoi never seen think whenev watch educ videoit simpl small addit make stand educ content creatorand huge impact us comprehend conclud relat inform exist knowledg big big big kudo everyon behind video
2025-01-29 12:30:41,@tritonxls9531,"Oh I didnt know starlink works<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",oh didnt know starlink work
2025-01-28 15:14:58,@denisrubev4146,great video,great video
2025-01-28 11:11:33,@darlingtonbagatiba393,damn,damn
2025-01-27 11:29:31,@scottbinawai6981,Thank you,thank
2025-01-27 09:02:03,@blayze3601,"Great video, thanks for blowing my mind... <br><br>Now I&#39;m not even mad about how much Dishy costs...",great video thank blow mind im even mad much dishi cost
2025-01-27 07:14:00,@elitesniper7445,Beautifully Explained. Visuals are state of the art.,beauti explain visual state art
2025-01-27 02:52:11,@randyeastwood3564,"Amazing work, thanks for teaching me.",amaz work thank teach
2025-01-26 18:14:12,@niteshshukla1203,What an achievement!!,achiev
2025-01-26 15:46:45,@everprogress2009,Thank you so much for creating this video!❤,thank much creat video
2025-01-26 12:21:32,@oathbreaker3503,"Branch Education, you guys have done a commendable job explaining this.",branch educ guy done commend job explain
2025-01-26 06:24:24,@slong4702,Absolutely amazing video,absolut amaz video
2025-01-26 05:46:36,@poppz-11,"Watching this via starlink in the Arctic Circle, incredible product",watch via starlink arctic circl incred product
2025-01-26 02:13:14,@YTispartofproblem,.                         🛰️ <br> <br>          <br>   <br>        📡 <br><br>Satellites   ..who knew!🙄,satellit knew
2025-01-26 01:48:57,@corail53,"ASTS is a much better system and uses less sats, Starlink is an environmental disaster with how often it needs to replace it&#39;s sats. That is constant shuttle launches. Constants crap in the sky for minimal users.",ast much better system use less sat starlink environment disast often need replac sat constant shuttl launch constant crap sky minim user
2025-01-25 20:32:57,@FaizInam-u4v,🇵🇰🌍,
2025-01-25 20:20:41,@matteoberga,Best video I’ve ever seen on the platform.,best video ive ever seen platform
2025-01-25 19:10:00,@ViktorsJefimovs-j9m,Data Not Going point to point :D. And that Internet is Saver :) I dont see here any Kind bad stuff in this solutions.,data go point point internet saver dont see kind bad stuff solut
2025-01-24 19:21:49,@bolucube,Thank you for this.,thank
2025-01-24 14:38:22,@geobuilders47,മാസം 100 $ (Rs.8000) മുടക്കി ഞാൻ Internet എടുക്കില്ല. എന്രെ വീട്ടിലെ Internet speed 100 Mbps ഉണ്ട്. അത് മതി,മസ rs മടകക ഞൻ internet എടകകലല എനര വടടല internet speed mbp ഉണട അത മത
2025-01-24 05:20:43,@npc-br,Awesome vid mate,awesom vid mate
2025-01-22 19:32:55,@mauroaurelio6534,Such a clear explanation of starlink and mentioning how mid flight internet works. Compliments to the team who made this video.!,clear explan starlink mention mid flight internet work compliment team made video
2025-01-22 18:12:28,@Юлия-ф2ъ3ф,Amazing content. Thank you so much for education.,amaz content thank much educ
2025-01-22 09:32:06,@tec4034,very good Information . what is the power these satelite transmit at,good inform power satelit transmit
2025-01-21 22:42:34,@imranabdulmalik3591,Haha.. watching a video about starlink using a starlink 😂❤,haha watch video starlink use starlink
2025-01-21 16:18:54,@mosesbasyarahil,EN HOW THE GOOGLE STELITE WORK?,en googl stelit work
2025-01-21 14:45:08,@sioconmfs5760,wow,wow
2025-01-21 14:32:05,@Da_v_id38,X,x
2025-01-21 12:21:45,@Kalamazoo369,LOOK UP TARGETED JUSTICE WEBSITE THEN THINK STARLINK NEURALINK SPACEX CHATGPT COFOUNDER CONTRACTS WITH DOD FOR MINDCONTROL/MICROWAVE WEAPONS U.S. PATENT 3951134 REMOTE NEURAL MONITORING,look target justic websit think starlink neuralink spacex chatgpt cofound contract dod mindcontrolmicrowav weapon us patent remot neural monitor
2025-01-21 12:21:26,@Kalamazoo369,LOOK UP TARGETED JUSTICE WEBSITE THEN THINK STARLINK NEURALINK SPACEX CHATGPT COFOUNDER CONTRACTS WITH DOD FOR MINDCONTROL/MICROWAVE WEAPONS U.S. PATENT 3951134 REMOTE NEURAL MONITORING:stayhome:,look target justic websit think starlink neuralink spacex chatgpt cofound contract dod mindcontrolmicrowav weapon us patent remot neural monitoringstayhom
2025-01-20 19:11:01,@senorpolainas3567,"Sick video, I now understand that I know shit and that there&#39;s a lot to learn.",sick video understand know shit there lot learn
2025-01-20 18:28:38,@saadsilverman8272,"I cannot describe you as stupid, but we are all ignorant, and you, the good people of Los Angeles, are being betrayed by the greedy, cunning, deceitful American Senate and Republican Party, who brought Trump the first time to start their project, which is to evacuate Los Angeles, California, by any means, and the easiest means is to start a fire, as its cost is less than any other means. And here is the second time he came with the breach, but he and those with him, add to them Elon Musk, who bought many votes from Arabs and Muslims, most of whom belong to terrorism and support it. So the fire breaks out, and God Almighty made them forget His power and ability, and that He does what He wills, so God made His storms rage with the fire, carrying its flames and its stormy winds blowing throughout the regions, eating the green before eating the dry grass. Believe me, I do not want anything from you. All I wanted was for you to return to your lands, and do not let it be easy for you, so you leave them to those who covet it. Hold on to your land, for the land will remain, and we will all go until God wills. Hold on to your lands. Rebuild your homes with your own hands and do not allow them to control them because if they own your lands, they will build what they planned and the price per square meter will increase at least tenfold. Therefore, O people of Los Angeles, California, return to your land no matter what it costs you and build your homes, for God will show you their reality and you will see that my words are not inspired or imaginary. Take this small proof: What is the benefit of Elon Musk, who cared about Trump&#39;s campaign and funded Trump&#39;s campaign with an amount of one billion and six hundred million dollars 💵 if he did not have a benefit to compensate for funding Trump&#39;s campaign with this amount? Knowing that we are all Muslims and Christians, if we pray, before or after prayer or in the middle of prayer we ask God for forgiveness? You coveted the Arab countries and the Arabs, you coveted the Islamic countries and the Muslims, and today your coveting has extended to your people. You forgot who is the living God who does not die and in whose hand is the kingdom of the heavens and the earth and what is between them, and He is the One who subjected to Solomon, peace be upon him, a kingdom that no one after him should have. So God made you forget His power and might, until when He wanted to reveal their true nature to the people in general and to your people in particular, He sent upon you His storms that swept away what your hands stained with all kinds of falsehood had ignited, O criminals. Satan fled from you, seeking refuge in God through the evil of your actions. The American Senate and Republican Party, add to them Trump, who is the mirror through which they see how they will agree to displace the people of America in the state of Los Angeles, California, which is one of the states famous for its wealth and the wealth of its good lands, especially the beauty of its beaches that sparkle with the colors of diamonds when the rays of the sun shine on them. So God willed that your plan would fail and make you a lesson. To the world, the fires spread from one region to another through the storms that carried the flames and flew with them, burning the green before burning all the grass from the dry land. Oh people of Los Angeles, California, hold on to your land and do not leave it exposed to the traitors of the filthy people, the first of whom are the American Senate and Republican Party and Trump and Elon Musk, who covet your land, property and money. If your land is lost, then you are the losers and you are the ones who will make them richer than they are. This is the era of greed for people and what they are bored with. I did not ask you for a service and I did not want anything from you except for you to wake up, for God’s sake, and here I am, jealous of you as I am jealous of all the good people. I only warn you .<br>By God, there is no god but Him, God alone, without partner. They are deceiving you, so wake up and hold on to your land. Rebuild your homes with your own hands, even if you built them on barren, burnt land. But beware of leaving them in the claws of the greedy pigs. Your land is your life, so do not be without a land that you dreamed of building, and years of your life passed while you lived on it in security and stability. Do not abandon your land.",describ stupid ignor good peopl lo angel betray greedi cun deceit american senat republican parti brought trump first time start project evacu lo angel california mean easiest mean start fire cost less mean second time came breach add elon musk bought mani vote arab muslim belong terror support fire break god almighti made forget power abil will god made storm rage fire carri flame stormi wind blow throughout region eat green eat dri grass believ want anyth want return land let easi leav covet hold land land remain go god will hold land rebuild home hand allow control land build plan price per squar meter increas least tenfold therefor peopl lo angel california return land matter cost build home god show realiti see word inspir imaginari take small proof benefit elon musk care trump campaign fund trump campaign amount one billion six hundr million dollar benefit compens fund trump campaign amount know muslim christian pray prayer middl prayer ask god forgiv covet arab countri arab covet islam countri muslim today covet extend peopl forgot live god die whose hand kingdom heaven earth one subject solomon peac upon kingdom one god made forget power might want reveal true natur peopl gener peopl particular sent upon storm swept away hand stain kind falsehood ignit crimin satan fled seek refug god evil action american senat republican parti add trump mirror see agre displac peopl america state lo angel california one state famou wealth wealth good land especi beauti beach sparkl color diamond ray sun shine god will plan would fail make lesson world fire spread one region anoth storm carri flame flew burn green burn grass dri land oh peopl lo angel california hold land leav expos traitor filthi peopl first american senat republican parti trump elon musk covet land properti money land lost loser one make richer era greed peopl bore ask servic want anyth except wake god sake jealou jealou good peopl warn god god god alon without partner deceiv wake hold land rebuild home hand even built barren burnt land bewar leav claw greedi pig land life without land dream build year life pass live secur stabil abandon land
2025-01-20 18:28:10,@saadsilverman8272,"شردوكم بنيرانهم وسيفقروكم ببناء أراضيكم إن استطعتم إعادتها لكم هاذا إن لم يطردوكم طرد الحيواناتThey displaced you with their fires and will impoverish you by building your lands if you can restore them to you, if they do not expel you like animals.",شردوكم بنيرانهم وسيفقروكم ببناء أراضيكم إن استطعتم إعادتها لكم هاذا إن لم يطردوكم طرد الحيواناتthey displac fire impoverish build land restor expel like anim
2025-01-20 18:26:25,@saadsilverman8272,"لا تستغربو فمجلس الشيوخ والحزب الجمهوري الأميريكيان خططو لكل شيء مع ترامب وإيلون ماسكDon&#39;t be surprised, the US Senate and Republican Party planned everything with Trump and Elon Musk 😂😂😂",لا تستغربو فمجلس الشيوخ والحزب الجمهوري الأميريكيان خططو لكل شيء مع ترامب وإيلون ماسكdont surpris us senat republican parti plan everyth trump elon musk
2025-01-20 18:25:11,@saadsilverman8272,You are their people and they took advantage of you,peopl took advantag
2025-01-20 10:21:17,@ASKstrive,Who is watching it on bed being lazy and sick.,watch bed lazi sick
2025-01-19 18:33:36,@VAIBHAVVERMAUnofficial-k3z,"So greately explained,  Thanks for such great engineering video",great explain thank great engin video
2025-01-19 11:27:54,@HazimAbed,❤❤❤❤,
2025-01-19 10:18:15,@alibabarahaei2229,Excellent,excel
2025-01-18 19:21:22,@MrMikesMondoVideo,"I stopped watching 2 minutes into this nonsense when the creator doesn&#39;t even understand that direct broadcast satellites are geostationary. Not only that, they have them orbiting in the wrong direction. lol I can only imagine what else they don&#39;t understand, but I&#39;m not going to waste my time watching any more of this comedy to find out.",stop watch minut nonsens creator doesnt even understand direct broadcast satellit geostationari orbit wrong direct lol imagin els dont understand im go wast time watch comedi find
2025-01-18 18:26:57,@engineerslife-mrngo,love it! wonderful animation and knowledge,love wonder anim knowledg
2025-01-18 15:21:10,@ImrGamer-t3m,You are the hero of education,hero educ
2025-01-18 09:57:07,@ishanpandey7162,Thank you for this !,thank
2025-01-17 23:01:04,@hxvu,Extremely informative and easy to follow along. Good job on presenting very difficult subjects into something that&#39;s understandable.,extrem inform easi follow along good job present difficult subject someth that understand
2025-01-17 19:51:27,@Kavyansh19,woooh,woooh
2025-01-17 18:28:38,@AndresLeone,Dude I&#39;m barely keeping up  watching at normal speed and you say to speed up to learn faster? Isn&#39;t backwards? 😂,dude im bare keep watch normal speed say speed learn faster isnt backward
2025-01-17 08:02:44,@404Thomas,"This is exactly what I want when I&#39;m looking for a video that explains the technology behind something. Fantastic! Very good video, thank you!",exactli want im look video explain technolog behind someth fantast good video thank
2025-01-17 07:19:43,@txsraappraiser,Does anyone remember Starlink Cry9c?,anyon rememb starlink cryc
2025-01-17 04:02:34,@bradharris1062,"Im a layman eith no classical education  , bytwhen u get to <a href=""https://www.youtube.com/watch?v=qs2QcycggWU&amp;t=1200"">20:00</a> ,it all brhins to maje sense and correlate,  as is babive sp us below. Macro micro general relatively scaled firmulas being dkne extremely quickly by these semiconductors creatingvthehifts snd patterns to sendvthe dignal to the copper hexagon structured antennae is done the same on the scale of multiple satellites thru the 360• system wave phase array steering inthink he said.  It didnt make sr se until u vombine it with multiple  sigmals. Its hoe on a smsller scale it is done on eavh individual satellite i think.  Rhats do cool,  even fir an idoot wjobis a self tsught therefore incirrectky dine ekectrical engineer and physics fan! 😂. Great system.  Esp the pravtucal steps and pepple slilss and pre planning / discolpline itbwould tske to master  this system sndvremsin profitable and shared the ofrrall dream simultaneously.  Great man",im layman eith classic educ bytwhen u get brhin maje sens correl babiv sp us macro micro gener rel scale firmula dkne extrem quickli semiconductor creatingvthehift snd pattern sendvth dignal copper hexagon structur antenna done scale multipl satellit thru system wave phase array steer inthink said didnt make sr se u vombin multipl sigmal hoe smsller scale done eavh individu satellit think rhat cool even fir idoot wjobi self tsught therefor incirrectki dine ekectr engin physic fan great system esp pravtuc step peppl slilss pre plan discolplin itbwould tske master system sndvremsin profit share ofrral dream simultan great man
2025-01-17 02:58:53,@oscarguerrero906,This was very well done,well done
2025-01-17 02:49:02,@rajasekhar6047,❤ super  . Thanks  . I need  good  job.,super thank need good job
2025-01-16 18:00:39,@corneroffice06,My IQ is bottom of the barrel,iq bottom barrel
2025-01-15 10:54:59,@williamegnever3831,"Love Starlink and this video is AWESOME. Just wanna brag lol, I watched this in 1.75x lol. Also as a satellite engineer, it pleases my heart to see STARLINK exists because I been dealing with SLOW ass GEO/MEO constellaions lol. Maybe one day I can get hired at SpaceX for SATCOM.",love starlink video awesom want brag lol watch x lol also satellit engin pleas heart see starlink exist deal slow ass geomeo constellaion lol mayb one day get hire spacex satcom
2025-01-15 10:15:03,@bta9087,Would love to see how wifi roughters work and more indefe in how the intena works,would love see wifi roughter work indef intena work
2025-01-15 09:09:21,@franklopez6349,Thank you. Good intro for those of us who grew up with analog and tubes.,thank good intro us grew analog tube
2025-01-14 22:43:54,@fernandodutra3788,How does the satellite decide how to prioritize traffic amongst many dishies within a similar area?,satellit decid priorit traffic amongst mani dishi within similar area
2025-01-14 19:17:34,@HotWireDude,bro i forgor💀,bro forgor
2025-01-14 14:46:58,@Jandrotclicks,Thanks to God who created Atheists who made such inventions 😂,thank god creat atheist made invent
2025-01-14 01:22:25,@kinghadu9611,Insane effort put into this video,insan effort put video
2025-01-12 19:13:30,@pranavp,mind blowing explanation how starlink dishy works. I tried to count falling stars - it&#39;s 14 I guess,mind blow explan starlink dishi work tri count fall star guess
2025-01-12 10:05:52,@mohdasmadibinramliasmadi-x6w,safe my position,safe posit
2025-01-12 03:33:48,@abey32,What will happen when the Chinese deplore their starlink equivalent...will that become a national security concern than?,happen chines deplor starlink equivalentwil becom nation secur concern
2025-01-12 01:23:14,@LionelKahan,Vidéo très bien construites et très pédagogique. Beau travail !,vidéo trè bien construit et trè pédagogiqu beau travail
2025-01-11 17:48:13,@bigtimepizzaenjoyer,fire,fire
2025-01-11 11:16:18,@ВикторЦапов-ь1ж,🎓🎓🎓🎓🎓🎓🎓🎓🎓👍👍👍👍👍👍,
2025-01-11 10:21:56,@Jet_Lee89,👍,
2025-01-11 09:23:54,@LeZinZin95,ty sir,ty sir
2025-01-11 04:09:43,@ahmedjunaid1528,"<a href=""https://www.youtube.com/watch?v=5gYaCI6t7U4"">https://youtu.be/5gYaCI6t7U4</a> (High level Internet)",httpsyoutubegyacitu high level internet
2025-01-10 23:44:22,@猛男217-n7o,唉！何處是我家？？？！！！變形金剛5,唉何處是我家變形金剛
2025-01-10 23:39:12,@猛男217-n7o,連拳叔埼玉都說我超級賽亞人4才不是笑話了！怎麼還有人要利用我繼續賺錢呢？,連拳叔埼玉都說我超級賽亞人才不是笑話了怎麼還有人要利用我繼續賺錢呢
2025-01-10 23:34:21,@猛男217-n7o,我如果姓楊，就是楊文理。萊茵哈特馮羅嚴克拉姆,我如果姓楊就是楊文理萊茵哈特馮羅嚴克拉姆
2025-01-10 23:29:24,@猛男217-n7o,我快永遠離開你們妳們了！因為付出不見回報。一顆星球3.37億光年的錢。早已足夠星球全部人類發展了。1967。1972。,我快永遠離開你們妳們了因為付出不見回報一顆星球億光年的錢早已足夠星球全部人類發展了
2025-01-10 23:25:54,@猛男217-n7o,我現在在看的畫面是100億年前的二級文明超級電視畫面。TV就是我的矩陣。連萬物之主都在觀察我的反應呢！,我現在在看的畫面是億年前的二級文明超級電視畫面tv就是我的矩陣連萬物之主都在觀察我的反應呢
